FSM_ID FSMStates FSMInputs FSMOutputs FSMSize W_Time W_Memory SIS_Tr SIS_Size SIS_Cost TS_Size TS_Cost Algorithm
0 10 6 6 60 0 0.664062 6 1 36 121 504 OWA
0 10 6 6 60 0 0.734375 42 60 194 420 1718 CWA
0 10 6 6 60 0 0.792969 42 60 144 420 1368 MWA
1 10 6 6 60 0 0.792969 13 1 57 241 957 OWA
1 10 6 6 60 0 0.734375 87 60 190 420 1690 CWA
1 10 6 6 60 0 0.828125 87 60 150 420 1410 MWA
2 10 6 6 60 0 0.730469 21 1 48 181 720 OWA
2 10 6 6 60 0 0.761719 129 60 174 420 1578 CWA
2 10 6 6 60 0 0.816406 129 60 144 420 1368 MWA
3 10 6 6 60 0 0.742188 21 1 40 181 730 OWA
3 10 6 6 60 0 0.765625 174 70 215 490 1925 CWA
3 10 6 6 60 0 0.863281 174 60 150 420 1410 MWA
4 10 6 6 60 0 0.753906 23 1 32 121 512 OWA
4 10 6 6 60 0 0.804688 219 60 180 420 1620 CWA
4 10 6 6 60 0 0.777344 219 60 150 420 1410 MWA
5 10 6 6 60 0 0.75 32 1 49 181 703 OWA
5 10 6 6 60 0 0.769531 258 70 201 490 1827 CWA
5 10 6 6 60 0 0.863281 258 60 138 420 1326 MWA
6 10 6 6 60 0 0.742188 36 1 34 121 514 OWA
6 10 6 6 60 0 0.753906 303 70 215 490 1925 CWA
6 10 6 6 60 0 0.863281 303 60 150 420 1410 MWA
7 10 6 6 60 0 0.71875 41 1 35 121 503 OWA
7 10 6 6 60 0 0.777344 345 70 208 490 1876 CWA
7 10 6 6 60 0 0.804688 345 60 144 420 1368 MWA
8 10 6 6 60 0 0.742188 55 1 44 121 500 OWA
8 10 6 6 60 0 0.75 384 70 201 490 1827 CWA
8 10 6 6 60 0 0.863281 384 60 138 420 1326 MWA
9 10 6 6 60 0 0.753906 59 1 24 61 306 OWA
9 10 6 6 60 0 0.804688 435 70 229 490 2023 CWA
9 10 6 6 60 0 0.804688 435 60 162 420 1494 MWA
10 10 6 6 60 0 0.863281 70 1 61 181 775 OWA
10 10 6 6 60 0 0.863281 474 60 178 420 1606 CWA
10 10 6 6 60 0 0.863281 474 60 138 420 1326 MWA
11 10 6 6 60 0 0.714844 74 1 34 121 538 OWA
11 10 6 6 60 0 0.863281 525 60 212 420 1844 CWA
11 10 6 6 60 0 0.789062 525 60 162 420 1494 MWA
12 10 6 6 60 0 0.789062 82 1 38 121 506 OWA
12 10 6 6 60 0 0.789062 567 70 208 490 1876 CWA
12 10 6 6 60 0 0.863281 567 60 144 420 1368 MWA
13 10 6 6 60 0 0.78125 87 1 45 181 699 OWA
13 10 6 6 60 0 0.78125 606 60 178 420 1606 CWA
13 10 6 6 60 0 0.863281 606 60 138 420 1326 MWA
14 10 6 6 60 0 0.742188 92 1 35 121 491 OWA
14 10 6 6 60 0 0.773438 645 70 211 490 1897 CWA
14 10 6 6 60 0 0.859375 645 60 138 420 1326 MWA
15 10 6 6 60 0 0.78125 98 1 36 121 504 OWA
15 10 6 6 60 0 0.785156 687 70 218 490 1946 CWA
15 10 6 6 60 0 0.800781 687 60 144 420 1368 MWA
16 10 6 6 60 0 0.78125 103 1 45 181 717 OWA
16 10 6 6 60 0 0.761719 729 60 184 420 1648 CWA
16 10 6 6 60 0 0.863281 729 60 144 420 1368 MWA
17 10 6 6 60 0 0.78125 107 1 44 121 572 OWA
17 10 6 6 60 0 0.863281 771 60 184 420 1648 CWA
17 10 6 6 60 0 0.800781 771 60 144 420 1368 MWA
18 10 6 6 60 0 0.78125 119 1 62 181 830 OWA
18 10 6 6 60 0 0.765625 819 60 196 420 1732 CWA
18 10 6 6 60 0 0.863281 819 60 156 420 1452 MWA
19 10 6 6 60 0 0.742188 126 1 57 181 789 OWA
19 10 6 6 60 0 0.800781 861 70 218 490 1946 CWA
19 10 6 6 60 0 0.800781 861 60 144 420 1368 MWA
20 10 6 6 60 0 0.746094 139 1 63 181 813 OWA
20 10 6 6 60 0 0.765625 906 60 190 420 1690 CWA
20 10 6 6 60 0 0.898438 906 60 150 420 1410 MWA
21 10 6 6 60 0 0.742188 145 1 36 121 492 OWA
21 10 6 6 60 0 0.898438 945 60 178 420 1606 CWA
21 10 6 6 60 0 0.898438 945 60 138 420 1326 MWA
22 10 6 6 60 0 0.898438 150 1 35 121 503 OWA
22 10 6 6 60 0 0.898438 987 60 174 420 1578 CWA
22 10 6 6 60 0 0.902344 987 60 144 420 1368 MWA
23 10 6 6 60 0 0.789062 158 1 58 241 934 OWA
23 10 6 6 60 0 0.902344 1029 60 174 420 1578 CWA
23 10 6 6 60 0 0.902344 1029 60 144 420 1368 MWA
24 10 6 6 60 0 0.789062 167 1 39 121 507 OWA
24 10 6 6 60 0 0.78125 1071 70 208 490 1876 CWA
24 10 6 6 60 0 0.808594 1071 60 144 420 1368 MWA
25 10 6 6 60 0 0.792969 180 1 53 181 725 OWA
25 10 6 6 60 0 0.902344 1113 70 208 490 1876 CWA
25 10 6 6 60 0 0.902344 1113 60 144 420 1368 MWA
26 10 6 6 60 0 0.820312 189 1 59 181 809 OWA
26 10 6 6 60 0 0.800781 1158 70 205 490 1855 CWA
26 10 6 6 60 0 0.898438 1158 60 150 420 1410 MWA
27 10 6 6 60 0 0.734375 193 1 24 61 318 OWA
27 10 6 6 60 0 0.835938 1215 60 214 420 1858 CWA
27 10 6 6 60 0 0.8125 1215 60 174 420 1578 MWA
28 10 6 6 60 0 0.722656 197 1 34 121 490 OWA
28 10 6 6 60 0 0.769531 1254 60 178 420 1606 CWA
28 10 6 6 60 0 0.902344 1254 60 138 420 1326 MWA
29 10 6 6 60 0 0.789062 203 1 36 121 504 OWA
29 10 6 6 60 0 0.789062 1296 70 208 490 1876 CWA
29 10 6 6 60 0 0.816406 1296 60 144 420 1368 MWA
30 10 6 6 60 0 0.75 210 1 37 121 517 OWA
30 10 6 6 60 0 0.789062 1341 80 240 560 2160 CWA
30 10 6 6 60 0 0.902344 1341 60 150 420 1410 MWA
31 10 6 6 60 0 0.761719 222 1 42 121 546 OWA
31 10 6 6 60 0 0.78125 1392 70 229 490 2023 CWA
31 10 6 6 60 0 0.902344 1392 60 162 420 1494 MWA
32 10 6 6 60 0 0.902344 226 1 64 241 1000 OWA
32 10 6 6 60 0 0.785156 1434 70 208 490 1876 CWA
32 10 6 6 60 0 0.902344 1434 60 144 420 1368 MWA
33 10 6 6 60 0 0.777344 234 1 38 121 518 OWA
33 10 6 6 60 0 0.828125 1479 60 190 420 1690 CWA
33 10 6 6 60 0 0.851562 1479 60 150 420 1410 MWA
34 10 6 6 60 0 0.765625 239 1 25 61 283 OWA
34 10 6 6 60 0 0.8125 1518 50 145 350 1315 CWA
34 10 6 6 60 0 0.902344 1518 60 138 420 1326 MWA
