FSM_ID FSMStates FSMInputs FSMOutputs FSMSize W_Time W_Memory SIS_Tr SIS_Size SIS_Cost TS_Size TS_Cost Algorithm
11 7 8 12 56 0 4.27344 18 1 46 225 750 OWA
11 7 8 12 56 0 4.31641 16 56 120 504 1528 CWA
11 7 8 12 56 0 4.33984 8 56 120 504 1528 MWA
12 4 8 11 32 0 4.31641 5 1 17 97 281 OWA
12 4 8 11 32 0 4.32031 14 16 28 144 380 CWA
12 4 8 11 32 0 4.33594 3 20 35 180 475 MWA
13 27 4 5 108 2 4.41016 126 1 315 433 2431 OWA
13 27 4 5 108 3 4.53125 119 351 1510 1755 8954 CWA
13 27 4 5 108 5 6.88672 58 108 448 540 2672 MWA
14 8 4 5 32 0 4.32031 30 1 62 129 494 OWA
14 8 4 5 32 0 4.32422 80 32 76 160 508 CWA
14 8 4 5 32 0 4.34766 11 32 76 160 508 MWA
15 7 2 3 14 0 4.34766 15 1 43 29 183 OWA
15 7 2 3 14 0 4.34766 39 14 56 42 196 CWA
15 7 2 3 14 0 4.34766 14 14 49 42 175 MWA
41 19 24 5 456 16 4.76562 244 1 377 3193 17681 OWA
41 19 24 5 456 157 5.91016 144 418 1848 10450 56232 CWA
41 19 24 5 456 195 7.17188 65 418 1848 10450 56232 MWA
44 9 4 3 36 0 4.70703 27 1 63 109 603 OWA
44 9 4 3 36 0 4.71484 113 36 141 180 849 CWA
44 9 4 3 36 0 4.75781 24 36 132 180 804 MWA
47 4 4 3 16 0 4.625 6 1 18 49 186 OWA
47 4 4 3 16 0 4.625 36 16 40 80 264 CWA
47 4 4 3 16 0 4.63281 6 12 30 60 198 MWA
48 4 4 2 16 0 4.64062 7 1 23 49 207 OWA
48 4 4 2 16 0 4.64062 18 12 34 60 218 CWA
48 4 4 2 16 0 4.64062 6 8 20 40 132 MWA
55 4 8 8 32 0 4.66797 0 1 4 33 116 OWA
55 4 8 8 32 0 4.66797 18 20 50 180 610 CWA
55 4 8 8 32 0 4.66797 6 12 30 108 366 MWA
81 5 12 3 60 0 4.64062 4 1 19 181 559 OWA
81 5 12 3 60 0 4.67188 16 30 60 390 1140 CWA
81 5 12 3 60 0 4.68359 5 30 60 390 1140 MWA
103 8 2 2 16 0 4.90234 19 1 51 33 215 OWA
103 8 2 2 16 0 4.90234 39 32 156 96 532 CWA
103 8 2 2 16 0 4.90625 17 24 99 72 345 MWA
111 20 6 21 120 2 4.62891 71 1 111 241 1527 OWA
111 20 6 21 120 2 4.73438 173 120 588 840 4836 CWA
111 20 6 21 120 5 5.58203 78 120 588 840 4836 MWA
114 9 4 3 36 0 4.58203 18 1 45 109 513 OWA
114 9 4 3 36 0 4.58984 120 36 120 180 744 CWA
114 9 4 3 36 0 4.64062 21 36 120 180 744 MWA
118 4 4 3 16 0 4.58594 4 1 16 33 144 OWA
118 4 4 3 16 0 4.58594 33 16 44 80 284 CWA
118 4 4 3 16 0 4.58984 6 8 20 40 132 MWA
119 5 4 2 20 0 4.58984 19 1 49 61 349 OWA
119 5 4 2 20 0 4.58984 26 20 90 100 530 CWA
119 5 4 2 20 0 4.58984 10 15 45 75 285 MWA
120 5 4 4 20 0 4.58984 9 1 24 41 180 OWA
120 5 4 4 20 0 4.58984 24 15 41 75 265 CWA
120 5 4 4 20 0 4.58984 7 20 48 100 320 MWA
